уникальный номер,направление 1,направление 2,направление 3,адрес площадки,округ площадки,район площадки,расписание в активных периодах,расписание в плановом периоде,exp_date,exp_date2,geo
801369124,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН Основы духовной культуры,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 03.01.2023 по 31.12.2023, Вт. 10:00-11:00, без перерыва",,2023-12-31,,
801368899,Образование,ОНЛАЙН Иностранные языки,ОНЛАЙН Испанский язык,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 14.01.2023 по 31.12.2023, Вт., Сб. 10:00-11:00, без перерыва",,2023-12-31,,
801368235,Образование,ОНЛАЙН Информационные технологии,ОНЛАЙН Осваиваем мобильные устройства,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 01.02.2023 по 31.12.2023, Пт. 19:30-20:30, без перерыва, Ср. 18:00-19:00, без перерыва",,2023-12-31,,
801365635,Образование,ОНЛАЙН Психология и коммуникации,ОНЛАЙН Искусство коммуникаций,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 12:00-13:00, без перерыва",,2023-12-31,,
801366221,Образование,ОНЛАЙН Образовательный практикум,ОНЛАЙН Перезагрузка (программа школы для помощи внукам)/ знай учебник лучше внука,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 16.01.2023 по 31.12.2023, Вт., Чт. 14:30-15:30, без перерыва",,2023-12-31,,
801373288,Игры,ОНЛАЙН Настольные игры,ОНЛАЙН Иные настольные игры,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 15.04.2023 по 31.12.2023, Пн., Ср. 15:00-16:00, без перерыва",,2023-12-31,,
801364797,Творчество,ОНЛАЙН Домоводство,ОНЛАЙН Садоводство,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 15.02.2023 по 31.12.2023, Чт. 20:00-21:00, без перерыва; c 10.01.2023 по 31.12.2023, Вт. 18:00-19:00, без перерыва",,2023-12-31,,
801370665,Образование,ОНЛАЙН Иностранные языки,ОНЛАЙН Испанский язык,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 13.01.2023 по 31.12.2023, Пн., Пт. 10:00-11:00, без перерыва",,2023-12-31,,
801364795,Творчество,ОНЛАЙН Домоводство,ОНЛАЙН Садоводство,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Чт. 18:00-19:00, без перерыва",,2023-12-31,,
801367875,Образование,ОНЛАЙН Иностранные языки,ОНЛАЙН Испанский язык,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 14.01.2023 по 31.12.2023, Вт., Сб. 11:15-12:15, без перерыва",,2023-12-31,,
801366022,Образование,ОНЛАЙН Иностранные языки,ОНЛАЙН Испанский язык,"Москва, Измайлово, 3-я Парковая улица, д.41А, этаж 2, пом.III, комната 34",Без района,Без района,"c 12.01.2023 по 31.12.2023, Чт., Вс. 10:00-11:00, без перерыва",,2023-12-31,,
801367534,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Пн., Чт. 14:50-15:50, без перерыва",,2023-12-27,,
801367064,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Пн., Чт. 16:00-17:00, без перерыва",,2023-12-27,,
801364601,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Ср., Пт. 16:00-17:00, без перерыва",,2023-12-27,,
801365517,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Ср., Пт. 09:00-10:00, без перерыва",,2023-12-27,,
801364675,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт., Чт. 11:20-12:20, без перерыва",,2023-12-27,,
801363690,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт. 14:45-15:45, без перерыва, Чт. 10:10-11:10, без перерыва",,2023-12-27,,
801363374,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Пн., Ср. 13:00-14:00, без перерыва",,2023-12-27,,
801368783,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн. 14:50-15:50, без перерыва",,2023-12-31,,
801367420,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 12.01.2023 по 31.12.2023, Пн., Ср. 09:00-10:00, без перерыва",,2023-12-31,,
801364641,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 13:40-14:40, без перерыва",,2023-12-31,,
801367931,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 19.04.2023 по 27.12.2023, Вт. 17:10-18:10, без перерыва",,2023-12-27,,
801369046,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 17:10-18:10, без перерыва",,2023-12-31,,
801367281,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Пт. 11:00-12:00, без перерыва",,2023-12-27,,
801364780,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт., Чт. 16:00-17:00, без перерыва",,2023-12-27,,
801363798,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 14:00-15:00, без перерыва",,2023-12-31,,
801364263,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 12:30-13:30, без перерыва",,2023-12-31,,
801371724,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт., Пт. 11:00-12:00, без перерыва",,2023-12-27,,
801364077,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт., Чт. 13:40-14:40, без перерыва",,2023-12-27,,
801364416,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт., Чт. 12:30-13:30, без перерыва",,2023-12-27,,
801371399,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Танцы для всех,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт., Чт. 11:20-12:20, без перерыва",,2023-12-27,,
801371577,Танцы,ОНЛАЙН Танцы,ОНЛАЙН Бальные танцы,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 27.12.2023, Вт. 14:50-16:50, без перерыва, Чт. 13:50-15:50, без перерыва",,2023-12-27,,
801371331,Творчество,ОНЛАЙН Домоводство,ОНЛАЙН Садоводство,"г. Москва, сельское поселение Новофёдоровское, поселение Новофедоровское, деревня Яковлевское, дом 4",Троицкий и Новомосковский административные округа,Без района,"c 09.01.2023 по 31.12.2023, Ср. 09:00-11:00, без перерыва",,2023-12-31,,
801366463,Творчество,ОНЛАЙН Домоводство,ОНЛАЙН Садоводство,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 24.12.2023, Чт. 09:00-11:00, без перерыва",,2023-12-24,,
801365831,Творчество,ОНЛАЙН Домоводство,ОНЛАЙН Садоводство,"город Москва, Армянский переулок, дом 9, стр. 1, офис 24.",Без района,Без района,"c 09.01.2023 по 24.12.2023, Чт. 11:20-13:20, без перерыва",,2023-12-24,,
801367849,Спецпроект / Московский театрал,Московский театрал,Московский театрал,"г. Москва, Ленинградское шоссе, дом 114",Северный административный округ,муниципальный округ Левобережный,"c 14.01.2023 по 30.12.2023, Сб. 15:30-17:30, без перерыва",,2023-12-30,,55.866147 37.463916
801371478,Танцы,Танцы,Классические танцы,"город Москва, 3-я Мытищинская улица, дом 3, строение 1",Северо-Восточный административный округ,муниципальный округ Алексеевский,"c 09.01.2023 по 31.12.2023, Вт. 13:45-15:45, без перерыва",,2023-12-31,,55.805341 37.641962
801371503,Танцы,Танцы,Классические танцы,"город Москва, 3-я Мытищинская улица, дом 3, строение 1",Северо-Восточный административный округ,муниципальный округ Алексеевский,"c 09.01.2023 по 31.12.2023, Ср. 15:45-17:45, без перерыва",,2023-12-31,,55.805341 37.641962
801371515,Образование,Иностранные языки,Итальянский язык,"город Москва, 3-я Мытищинская улица, дом 3, строение 1",Северо-Восточный административный округ,муниципальный округ Алексеевский,"c 09.01.2023 по 31.12.2023, Ср. 10:00-12:00, без перерыва",,2023-12-31,,55.805341 37.641962
801363255,Образование,Информационные технологии,Осваиваем мобильные устройства,"г. Москва, Привольная улица, дом 2, строение 1",Юго-Восточный административный округ,муниципальный округ Выхино-Жулебино,"c 11.01.2023 по 27.12.2023, Ср. 10:00-12:00, без перерыва",,2023-12-27,,55.704392 37.842034
801367401,Физическая активность,Гимнастика,Здоровая спина,"г. Москва, Новочеркасский бульвар, дом 10, корпус 1",Юго-Восточный административный округ,муниципальный округ Марьино,"c 10.01.2023 по 28.12.2023, Вт., Чт. 13:30-14:30, без перерыва",,2023-12-28,,55.646594 37.715489
801362890,Физическая активность,"Фитнес, тренажеры",Зумба,"г. Москва, Отрадная улица, дом 16 ",Северо-Восточный административный округ,муниципальный округ Отрадное,"c 09.01.2023 по 27.12.2023, Пн., Ср. 13:00-14:00, без перерыва",,2023-12-27,,55.855012 37.613719
801363785,Физическая активность,"Фитнес, тренажеры",Фитнес,"город Москва, улица Наташи Ковшовой, дом 8, корпус 1",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 10.01.2023 по 28.12.2023, Вт. 12:00-13:00, без перерыва, Чт. 10:00-11:00, без перерыва",,2023-12-28,,55.681417 37.448869
801364361,Физическая активность,"Фитнес, тренажеры",Ритмика и движение,"город Москва, улица Наташи Ковшовой, дом 8, корпус 1",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 09.01.2023 по 28.12.2023, Пн., Чт. 13:00-14:00, без перерыва",,2023-12-28,,55.681417 37.448869
801364371,Физическая активность,"Фитнес, тренажеры",Фитнес,"город Москва, улица Наташи Ковшовой, дом 8, корпус 1",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 09.01.2023 по 28.12.2023, Пн., Чт. 14:00-15:00, без перерыва",,2023-12-28,,55.681417 37.448869
801364353,Физическая активность,"Фитнес, тренажеры",Степ-аэробика,"город Москва, улица Наташи Ковшовой, дом 8, корпус 1",Западный административный округ,муниципальный округ Очаково-Матвеевское,"c 10.01.2023 по 28.12.2023, Чт. 12:00-13:00, без перерыва, Вт. 13:00-14:00, без перерыва",,2023-12-28,,55.681417 37.448869
801367431,Образование,Здорово жить,Здорово жить,"г. Москва, Дмитровское шоссе, дом 165Д, корпус 7",Северо-Восточный административный округ,муниципальный округ Северный,"c 07.03.2023 по 31.12.2023, Пн., Пт. 13:00-14:00, без перерыва",,2023-12-31,,55.923882 37.541629
801363840,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Здоровая спина,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 08:00-09:00, без перерыва",,2023-12-31,,
801371079,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Здоровая спина,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 09:00-10:00, без перерыва",,2023-12-31,,
801364895,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Здоровая спина,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 10:00-11:00, без перерыва",,2023-12-31,,
801368630,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Различные техники рисования,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 11:00-12:00, без перерыва",,2023-12-31,,
801363274,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Различные техники рисования,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 11.01.2023 по 31.12.2023, Пн., Ср. 09:00-10:00, без перерыва",,2023-12-31,,
801363281,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Основы академического рисунка и живописи,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 11.01.2023 по 31.12.2023, Ср. 13:00-15:00, без перерыва",,2023-12-31,,
801366786,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Акварельная живопись,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 13.01.2023 по 31.12.2023, Пт. 10:00-12:00, без перерыва",,2023-12-31,,
801366795,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Акварельная живопись,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 13.01.2023 по 31.12.2023, Пт. 13:00-15:00, без перерыва",,2023-12-31,,
801367459,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Графика,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 16.01.2023 по 31.12.2023, Пн. 13:00-15:00, без перерыва",,2023-12-31,,
801364913,Образование,"ОНЛАЙН История, искусство, краеведение","ОНЛАЙН История, культура России","город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 10:00-11:00, без перерыва",,2023-12-31,,
801365005,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН История искусства,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 11.01.2023 по 31.12.2023, Вт., Чт. 17:00-18:00, без перерыва",,2023-12-31,,
801364930,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН История искусства,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 12:00-13:00, без перерыва",,2023-12-31,,
801364953,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН История искусства,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт., Чт. 14:00-15:00, без перерыва",,2023-12-31,,
801363265,Образование,ОНЛАЙН Здорово жить,ОНЛАЙН Правильное питание,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 11.01.2023 по 31.12.2023, Пн., Ср. 09:00-10:00, без перерыва",,2023-12-31,,
801371065,Образование,ОНЛАЙН Здорово жить,ОНЛАЙН Правильное питание,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 11.01.2023 по 31.12.2023, Пн., Ср. 12:00-13:00, без перерыва",,2023-12-31,,
801366870,Образование,ОНЛАЙН Здорово жить,ОНЛАЙН Правильное питание,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 10.01.2023 по 31.12.2023, Вт. 12:00-13:00, без перерыва, Чт. 10:00-11:00, без перерыва",,2023-12-31,,
801364992,Образование,ОНЛАЙН Здорово жить,ОНЛАЙН Правильное питание,"город Москва, Дмитровское шоссе, дом 33, корпус 3, квартира 60",Без района,Без района,"c 02.03.2023 по 31.12.2023, Вт., Чт. 14:00-15:00, без перерыва",,2023-12-31,,
801369306,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Адаптивная и тонизирующая гимнастика,"г. Москва, Стахановская ул., д. 21",Без района,Без района,"c 09.01.2023 по 31.12.2023, Вт. 16:00-18:00, без перерыва",,2023-12-31,,
801362763,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Адаптивная и тонизирующая гимнастика,"г. Москва, Стахановская ул., д. 21",Без района,Без района,"c 09.01.2023 по 31.12.2023, Ср., Пт. 09:30-10:30, без перерыва",,2023-12-31,,
801365000,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Адаптивная и тонизирующая гимнастика,"г. Москва, Стахановская ул., д. 21",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Чт. 18:00-19:00, без перерыва",,2023-12-31,,
801363658,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Адаптивная и тонизирующая гимнастика,"г. Москва, Стахановская ул., д. 21",Без района,Без района,"c 09.01.2023 по 31.12.2023, Вт., Чт. 09:30-10:30, без перерыва",,2023-12-31,,
801365114,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Адаптивная и тонизирующая гимнастика,"г. Москва, Стахановская ул., д. 21",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 09:00-10:00, без перерыва",,2023-12-31,,
801369163,Образование,Информационные технологии,Осваиваем мобильные устройства,"город Москва, Курганская улица, дом 3",Восточный административный округ,муниципальный округ Гольяново,"c 24.01.2023 по 31.12.2023, Вт. 09:50-11:50, без перерыва",,2023-12-31,,55.828516 37.809174
801364047,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Суставная гимнастика,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 05.01.2023 по 31.12.2023, Пн., Чт. 09:00-10:00, без перерыва",,2023-12-31,,
801362758,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Суставная гимнастика,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 11:00-12:00, без перерыва",,2023-12-31,,
801367926,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Суставная гимнастика,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 06.01.2023 по 31.12.2023, Вт., Пт. 09:00-10:00, без перерыва",,2023-12-31,,
801371935,Физическая активность,ОНЛАЙН Гимнастика,ОНЛАЙН Суставная гимнастика,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 06.01.2023 по 31.12.2023, Вт., Пт. 11:00-12:00, без перерыва",,2023-12-31,,
801363803,Образование,ОНЛАЙН Иностранные языки,ОНЛАЙН Испанский язык,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн., Ср. 09:30-10:30, без перерыва",,2023-12-31,,
801368573,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН Церковнославянский язык,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 09.01.2023 по 31.12.2023, Вт. 15:00-17:00, без перерыва",,2023-12-31,,
801366542,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН Основы духовной культуры,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 06.01.2023 по 31.12.2023, Пт. 13:00-15:00, без перерыва",,2023-12-31,,
801366545,Образование,"ОНЛАЙН История, искусство, краеведение",ОНЛАЙН Основы духовной культуры,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 06.01.2023 по 31.12.2023, Вт., Пт. 17:30-18:30, без перерыва",,2023-12-31,,
801369233,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Различные техники рисования,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 09.01.2023 по 31.12.2023, Вт. 12:30-14:30, без перерыва",,2023-12-31,,
801365428,Рисование,ОНЛАЙН Рисование,ОНЛАЙН Масляная живопись,"Москва, ул. Дубининская, 9, стр.1",Без района,Без района,"c 09.01.2023 по 31.12.2023, Ср. 10:00-12:00, без перерыва",,2023-12-31,,
801368735,Образование,ОНЛАЙН Здорово жить,ОНЛАЙН Здорово жить,"г. Москва, ЮВАО, ул. Шарикоподшипниковская, д.9",Без района,Без района,"c 16.01.2023 по 31.12.2023, Пн. 13:00-14:00, без перерыва",,2023-12-31,,
801363566,Образование,ОНЛАЙН Здорово жить,ОНЛАЙН Здорово жить,"г. Москва, ЮВАО, ул. Шарикоподшипниковская, д.9",Без района,Без района,"c 24.01.2023 по 31.12.2023, Ср. 13:00-14:00, без перерыва",,2023-12-31,,
801363976,Образование,Английский язык,Английский язык,"г. Москва, Дубининская улица, дом 11, строение 1",Центральный административный округ,муниципальный округ Замоскворечье,"c 09.01.2023 по 31.12.2023, Пн., Ср. 17:00-19:00, без перерыва",,2023-12-31,,55.727638 37.637641
801367641,Образование,Иностранные языки,Итальянский язык,"город Москва, Краснобогатырская улица, дом 17, корпус 1",Восточный административный округ,муниципальный округ Богородское,"c 09.01.2023 по 31.12.2023, Чт. 14:00-16:00, без перерыва",,2023-12-31,,55.814209 37.69648
801367289,Образование,Иностранные языки,Итальянский язык,"город Москва, Краснобогатырская улица, дом 17, корпус 1",Восточный административный округ,муниципальный округ Богородское,"c 25.03.2023 по 31.12.2023, Чт. 12:00-14:00, без перерыва",,2023-12-31,,55.814209 37.69648
801365405,Физическая активность,Гимнастика,Танцевальная гимнастика,"г. Москва, 6-я Парковая улица, дом 19",Восточный административный округ,муниципальный округ Измайлово,"c 30.01.2023 по 31.12.2023, Чт. 11:15-12:15, без перерыва, Пн. 13:30-14:30, без перерыва",,2023-12-31,,55.792043 37.789761
801373739,Танцы,Танцы,Танцы для всех,"г. Москва, 6-я Парковая улица, дом 19",Восточный административный округ,муниципальный округ Измайлово,"c 30.01.2023 по 31.12.2023, Вт., Чт. 10:00-11:00, без перерыва",,2023-12-31,,55.792043 37.789761
801368383,Образование,Иностранные языки,Китайский язык,"г. Москва, 6-я Парковая улица, дом 19",Восточный административный округ,муниципальный округ Измайлово,"c 09.01.2023 по 31.12.2023, Пн. 10:00-12:00, без перерыва",,2023-12-31,,55.792043 37.789761
801373428,Образование,Здорово жить,Здорово жить,"г. Москва, 6-я Парковая улица, дом 19",Восточный административный округ,муниципальный округ Измайлово,"c 09.01.2023 по 31.12.2023, Вт., Пт. 14:00-15:00, без перерыва",,2023-12-31,,55.792043 37.789761
801366872,Физическая активность,Скандинавская ходьба,Скандинавская ходьба,"г. Москва, Лобненская улица, дом 13А",Северный административный округ,муниципальный округ Дмитровский,"c 09.01.2023 по 31.12.2023, Вт., Чт. 10:00-11:00, без перерыва",,2023-12-31,,55.88817 37.533553
801367061,Образование,ОНЛАЙН Образовательный практикум,ОНЛАЙН Ментальная арифметика,"город Москва, район Коньково, улица Бутлерова, дом 17Б, эт. 2, помещение XI, ком. 60Е, офис 126",Без района,Без района,"c 09.01.2023 по 31.12.2023, Пн. 10:00-12:00, без перерыва",,2023-12-31,,
801362801,Образование,ОНЛАЙН Образовательный практикум,ОНЛАЙН Ментальная арифметика,"город Москва, район Коньково, улица Бутлерова, дом 17Б, эт. 2, помещение XI, ком. 60Е, офис 126",Без района,Без района,"c 09.01.2023 по 31.12.2023, Ср. 12:00-14:00, без перерыва",,2023-12-31,,
801367286,Образование,ОНЛАЙН Образовательный практикум,ОНЛАЙН Ментальная арифметика,"город Москва, район Коньково, улица Бутлерова, дом 17Б, эт. 2, помещение XI, ком. 60Е, офис 126",Без района,Без района,"c 15.01.2023 по 31.12.2023, Вс. 13:00-15:00, без перерыва",,2023-12-31,,
801369137,Образование,ОНЛАЙН Образовательный практикум,ОНЛАЙН Ментальная арифметика,"город Москва, район Коньково, улица Бутлерова, дом 17Б, эт. 2, помещение XI, ком. 60Е, офис 126",Без района,Без района,"c 09.01.2023 по 24.12.2023, Вт. 15:00-17:00, без перерыва",,2023-12-24,,
801371488,Танцы,Танцы,Классические танцы,"город Москва, 3-я Мытищинская улица, дом 3, строение 1",Северо-Восточный административный округ,муниципальный округ Алексеевский,"c 07.01.2023 по 31.12.2023, Сб. 12:00-14:00, без перерыва",,2023-12-31,,55.805341 37.641962
801365951,Образование,Пеший лекторий,Памятники культуры,"город Москва, проезд Нансена, дом 12, корпус 1",Северо-Восточный административный округ,муниципальный округ Свиблово,"c 02.04.2023 по 31.12.2023, Пн. 11:00-13:00, без перерыва; c 10.01.2023 по 31.12.2023, Пт. 11:00-13:00, без перерыва",,2023-12-31,,55.852152 37.651035
801364148,Образование,Пеший лекторий,Памятники культуры,"город Москва, проезд Нансена, дом 12, корпус 1",Северо-Восточный административный округ,муниципальный округ Свиблово,"c 09.01.2023 по 31.12.2023, Пн., Ср. 11:00-13:00, без перерыва",,2023-12-31,,55.852152 37.651035
801370848,Образование,Пеший лекторий,Памятники культуры,"г. Москва, Зеленодольская улица, дом 4",Юго-Восточный административный округ,муниципальный округ Кузьминки,"c 09.01.2023 по 31.12.2023, Пн. 14:30-16:30, без перерыва",,2023-12-31,,55.71659 37.789573
801369226,Образование,Здорово жить,Здоровое похудение,"город Москва, улица Юных Ленинцев, дом 52",Юго-Восточный административный округ,муниципальный округ Кузьминки,"c 10.01.2023 по 31.12.2023, Вт. 12:00-14:00, без перерыва",,2023-12-31,,55.699781 37.765381
801366578,Образование,Здорово жить,Здоровое похудение,"город Москва, Беломорская улица, дом 16А",Северный административный округ,муниципальный округ Левобережный,"c 27.01.2023 по 31.12.2023, Пт. 14:30-16:30, без перерыва",,2023-12-31,,55.862681 37.471192
801363734,Физическая активность,Спортивные игры,Настольный теннис,"город Москва, Сиреневый бульвар, дом 31",Восточный административный округ,муниципальный округ Северное Измайлово,"c 11.01.2023 по 31.12.2023, Ср. 15:00-17:00, без перерыва, Чт. 15:15-17:15, без перерыва",,2023-12-31,,55.803818 37.800541
